variant,variant_key,horizon,year,port_return,tpx_return,rel_alpha,days
z_lin (Variant A),zlin,1,2018,-0.20886151576780554,-0.17272672577017956,-0.03613478999762598,245.0
z_lin (Variant A),zlin,1,2022,0.0663463405855853,-0.04774517133489098,0.11409151192047629,244.0
z_lin (Variant A),zlin,5,2018,-0.17621167113064973,-0.17272672577017956,-0.003484945360470171,245.0
z_lin (Variant A),zlin,5,2022,0.16034959209665134,-0.04774517133489098,0.20809476343154232,244.0
z_lin (Variant A),zlin,10,2018,-0.10597603248775733,-0.17272672577017956,0.06675069328242222,245.0
z_lin (Variant A),zlin,10,2022,0.06866351355426192,-0.04774517133489098,0.1164086848891529,244.0
z_lin (Variant A),zlin,60,2018,-0.1927323613305898,-0.17272672577017956,-0.02000563556041024,245.0
z_lin (Variant A),zlin,60,2022,-0.02495811445140972,-0.04774517133489098,0.02278705688348126,244.0
z_lin (Variant A),zlin,90,2018,-0.1879705243186205,-0.17272672577017956,-0.015243798548440934,245.0
z_lin (Variant A),zlin,90,2022,-0.030722839487006937,-0.04774517133489098,0.017022331847884042,244.0
z_lin (Variant A),zlin,120,2018,-0.1906611656516345,-0.17272672577017956,-0.017934439881454933,245.0
z_lin (Variant A),zlin,120,2022,-0.022112172746823977,-0.04774517133489098,0.025632998588067002,244.0
rank_only (Variant B),rank,1,2018,-0.13392806587660888,-0.17272672577017956,0.038798659893570675,245.0
rank_only (Variant B),rank,1,2022,-0.004740190708821701,-0.04774517133489098,0.04300498062606928,244.0
rank_only (Variant B),rank,5,2018,-0.1990553317380368,-0.17272672577017956,-0.026328605967857244,245.0
rank_only (Variant B),rank,5,2022,0.020742435888086774,-0.04774517133489098,0.06848760722297775,244.0
rank_only (Variant B),rank,10,2018,-0.22440665350929323,-0.17272672577017956,-0.051679927739113674,245.0
rank_only (Variant B),rank,10,2022,0.005857559448581018,-0.04774517133489098,0.053602730783472,244.0
rank_only (Variant B),rank,60,2018,-0.1814678574348777,-0.17272672577017956,-0.008741131664698143,245.0
rank_only (Variant B),rank,60,2022,0.03203652449197092,-0.04774517133489098,0.0797816958268619,244.0
rank_only (Variant B),rank,90,2018,-0.18807246183318715,-0.17272672577017956,-0.015345736063007598,245.0
rank_only (Variant B),rank,90,2022,0.018681249663077493,-0.04774517133489098,0.06642642099796847,244.0
rank_only (Variant B),rank,120,2018,-0.18847595546518825,-0.17272672577017956,-0.015749229695008693,245.0
rank_only (Variant B),rank,120,2022,0.014490293256394837,-0.04774517133489098,0.062235464591285816,244.0
z_clip_rank (Variant C),zclip,1,2018,-0.21419782876807003,-0.17272672577017956,-0.041471102997890474,245.0
z_clip_rank (Variant C),zclip,1,2022,0.04435027492883825,-0.04774517133489098,0.09209544626372923,244.0
z_clip_rank (Variant C),zclip,5,2018,-0.16684913940872415,-0.17272672577017956,0.005877586361455411,245.0
z_clip_rank (Variant C),zclip,5,2022,0.1550634626731191,-0.04774517133489098,0.20280863400801008,244.0
z_clip_rank (Variant C),zclip,10,2018,-0.10721174630772856,-0.17272672577017956,0.065514979462451,245.0
z_clip_rank (Variant C),zclip,10,2022,0.05977213767935208,-0.04774517133489098,0.10751730901424306,244.0
z_clip_rank (Variant C),zclip,60,2018,-0.19114642771404222,-0.17272672577017956,-0.018419701943862665,245.0
z_clip_rank (Variant C),zclip,60,2022,-0.02937375430705791,-0.04774517133489098,0.01837141702783307,244.0
z_clip_rank (Variant C),zclip,90,2018,-0.18705495116556092,-0.17272672577017956,-0.014328225395381367,245.0
z_clip_rank (Variant C),zclip,90,2022,-0.03326103798539881,-0.04774517133489098,0.014484133349492168,244.0
z_clip_rank (Variant C),zclip,120,2018,-0.1901517241129217,-0.17272672577017956,-0.017424998342742137,245.0
z_clip_rank (Variant C),zclip,120,2022,-0.026848813061561172,-0.04774517133489098,0.020896358273329807,244.0
z_lowvol (Variant D),zlowvol,1,2018,-0.18218835589584992,-0.17272672577017956,-0.009461630125670362,245.0
z_lowvol (Variant D),zlowvol,1,2022,0.09181190206450007,-0.04774517133489098,0.13955707339939105,244.0
z_lowvol (Variant D),zlowvol,5,2018,-0.18278059547743397,-0.17272672577017956,-0.010053869707254415,245.0
z_lowvol (Variant D),zlowvol,5,2022,0.07912419425828032,-0.04774517133489098,0.1268693655931713,244.0
z_lowvol (Variant D),zlowvol,10,2018,-0.11572445547824683,-0.17272672577017956,0.05700227029193272,245.0
z_lowvol (Variant D),zlowvol,10,2022,0.07609203413549959,-0.04774517133489098,0.12383720547039057,244.0
z_lowvol (Variant D),zlowvol,60,2018,-0.1664501616495675,-0.17272672577017956,0.00627656412061206,245.0
z_lowvol (Variant D),zlowvol,60,2022,-0.0225897058659289,-0.04774517133489098,0.02515546546896208,244.0
z_lowvol (Variant D),zlowvol,90,2018,-0.16421257083131102,-0.17272672577017956,0.008514154938868534,245.0
z_lowvol (Variant D),zlowvol,90,2022,-0.022606213926932184,-0.04774517133489098,0.025138957407958795,244.0
z_lowvol (Variant D),zlowvol,120,2018,-0.17128840286492553,-0.17272672577017956,0.0014383229052540303,245.0
z_lowvol (Variant D),zlowvol,120,2022,-0.01775095529068127,-0.04774517133489098,0.02999421604420971,244.0
