ticker,market,type,name,sector
7203.T,Prime,Common,Toyota Motor,Automobiles
9984.T,Prime,Common,SoftBank Group,Technology
9432.T,Prime,Common,Nippon Telegraph and Telephone,Telecommunications
6758.T,Prime,Common,Sony Group,Technology
6861.T,Prime,Common,Keyence,Electronics
8035.T,Prime,Common,Tokyo Electron,Semiconductors
4502.T,Prime,Common,Takeda Pharmaceutical,Pharmaceuticals
8306.T,Prime,Common,Mitsubishi UFJ Financial Group,Banks
8058.T,Prime,Common,Mitsubishi Corporation,Conglomerates
7974.T,Prime,Common,Nintendo,Entertainment
6954.T,Prime,Common,Fanuc,Industrial Machinery
9433.T,Prime,Common,KDDI,Telecommunications
9434.T,Prime,Common,SoftBank Corp,Telecommunications
2914.T,Prime,Common,Japan Tobacco,Consumer Staples
8766.T,Prime,Common,Tokio Marine Holdings,Insurance
4063.T,Prime,Common,Shin-Etsu Chemical,Chemicals
3382.T,Prime,Common,Seven & i Holdings,Retail
9983.T,Prime,Common,Fast Retailing,Apparel
6367.T,Prime,Common,Daikin Industries,Industrials
4503.T,Prime,Common,Astellas Pharma,Pharmaceuticals
6902.T,Prime,Common,Denso,Auto Parts
6501.T,Prime,Common,Hitachi,Industrial Conglomerates
6752.T,Prime,Common,Panasonic,Electronics
6098.T,Prime,Common,Recruit Holdings,Services
4452.T,Prime,Common,Kao,Consumer Staples
7201.T,Prime,Common,Nissan Motor,Automobiles
7270.T,Prime,Common,Subaru,Automobiles
