path,category,why,inputs,outputs,referenced_by
scripts/core/run_equity01_eval.py,KEEP_CORE,実行入口。日次実行に必須。build_index_tpx_dailyとcalc_alpha_betaを呼び出す。依存図: index_tpx_daily → paper_trade_with_alpha_beta → rolling_relative_alpha。,data/processed/index_tpx_daily.parquet,data/processed/paper_trade_with_alpha_beta.parquet,data/processed/rolling_relative_alpha.parquet,scripts/core/run_equity01_eval.py (エントリポイント)
scripts/core/run_scoring.py,KEEP_CORE,スコアリング実行入口。日次実行に必要。,configs/scoring.yml,latest_scores.parquet,scripts/core/run_scoring.py (エントリポイント)
scripts/core/scoring_engine.py,KEEP_CORE,スコアリングエンジンの中核（運用MVP統一版）。run_scoringから呼ばれる。,daily_feature_scores.parquet,latest_scores.parquet,scripts/core/run_scoring.py,scripts/core/build_features.py,scripts/core/build_portfolio.py
scripts/core/build_features.py,KEEP_CORE,特徴量構築。日次実行に必要。依存図: equities/*.parquet + index_tpx_daily → daily_feature_scores。coreではじまりcoreで終わる原則に従う。,data/raw/equities/*.parquet,data/processed/index_tpx_daily.parquet,data/processed/daily_feature_scores.parquet,scripts/core/build_features.py (エントリポイント、coreフロー内)
scripts/core/build_portfolio.py,KEEP_CORE,ポートフォリオ構築。日次実行に必要。coreフローの終点（daily_portfolio_guarded.parquet生成）。依存図: daily_feature_scores → daily_portfolio_guarded。,data/processed/daily_feature_scores.parquet,data/processed/daily_portfolio_guarded.parquet,scripts/core/build_portfolio.py (エントリポイント、coreフロー終点)
scripts/core/calc_alpha_beta.py,KEEP_CORE,ペーパートレードとα計算。run_equity01_evalから呼ばれる。,daily_portfolio_guarded.parquet,index_tpx_daily.parquet,paper_trade_with_alpha_beta.parquet,scripts/core/run_equity01_eval.py
scripts/core/universe_builder.py,KEEP_CORE,ユニバース構築。日次実行に必要。,configs/universe.yml,data/raw/jpx_listings/*.csv,data/intermediate/universe/latest_universe.parquet,scripts/core/universe_builder.py (エントリポイント)
scripts/core/download_prices.py,KEEP_CORE,価格データ取得。日次実行に必要。,latest_universe.parquet,data/raw/equities/*.parquet,scripts/core/download_prices.py (エントリポイント)
scripts/core/event_guard.py,KEEP_CORE,イベントガード機能。build_portfolioから使用される。,data/events/calendar.csv,data/events/earnings.csv,(関数として使用),scripts/core/build_portfolio.py
scripts/core/build_regime_hmm.py,KEEP_STG_ANALYSIS,レジームHMM構築。STOP戦略検証に使用。,horizon_ensemble_variant_cross4.parquet,regime_labels.parquet,scripts/core/build_regime_hmm.py (エントリポイント、eval_stop_regimes系の前段階)
scripts/core/build_dynamic_portfolio.py,QUARANTINE_OTHER,動的ポートフォリオ構築。cross4/STOP運用ラインとは別系統のparityプロジェクト。,horizon_ensemble_rank_only.parquet,horizon_ensemble_variant_cross3.parquet,portfolio_root_sigma.parquet,dynamic_weights_root_sigma.parquet,scripts/core/build_dynamic_portfolio.py (エントリポイント、parity用)
archive/core_deprecated/scoring_engine_variants.py,ARCHIVE_DEPRECATED,core/scoring_engine.pyから移動されたvariant探索用の旧実装。現在は使用されていない。scripts/analysis/scoring_variants.pyに移行。,（使用されていない）,(使用されていない),（参照なし）
scripts/analysis/scoring_variants.py,ARCHIVE_RESEARCH,variant探索用のスコアリング実装。core/scoring_engine.pyからvariant機能を分離。coreを触らずにvariant探索が可能。,(関数ライブラリ),(関数ライブラリ),scripts/analysis/scoring_variants.py (variant探索用)
scripts/tools/build_index_tpx_daily.py,KEEP_CORE,TOPIXデータ構築。run_equity01_evalから呼ばれる。,data/raw/prices/*.csv,index_tpx_daily.parquet,scripts/core/run_equity01_eval.py
scripts/tools/paper_trade.py,KEEP_CORE,ペーパートレード実行。calc_alpha_betaから呼ばれる。,daily_portfolio_guarded.parquet,paper_trade_daily.parquet,scripts/core/calc_alpha_beta.py
scripts/tools/data_loader.py,KEEP_CORE,データローダー。複数のcore/analysisスクリプトから使用される。,data/raw/equities/*.parquet,(関数ライブラリ),scripts/core/build_features.py,scripts/analysis/horizon_ensemble.py
scripts/tools/feature_builder.py,KEEP_CORE,特徴量ビルダー。build_featuresから使用される。,(関数ライブラリ),scripts/core/build_features.py
scripts/tools/weights_cleaning.py,KEEP_CORE,ウェイトクリーニング。build_portfolioから使用される。,(関数ライブラリ),scripts/core/build_portfolio.py,scripts/analysis/horizon_ensemble.py
scripts/tools/order_builder.py,KEEP_CORE,オーダービルダー。実運用接続に必要。,(関数ライブラリ),scripts/tools/order_builder.py (将来実運用で使用)
scripts/tools/execution_simulator.py,KEEP_CORE,エクゼキューションシミュレーター。実運用接続に必要。,(関数ライブラリ),scripts/tools/execution_simulator.py (将来実運用で使用)
scripts/tools/portfolio_optimizer.py,KEEP_CORE,ポートフォリオオプティマイザー。実運用接続に必要。,(関数ライブラリ),scripts/tools/portfolio_optimizer.py (将来実運用で使用)
scripts/tools/fetch_prices.py,ARCHIVE_RESEARCH,価格取得ユーティリティ（古い実装）。data_loaderで代替可能。,(関数ライブラリ),scripts/tools/fetch_prices.py (非推奨、data_loader使用推奨)
scripts/tools/calc_minimum_capital.py,ARCHIVE_RESEARCH,最低資本計算。研究用ユーティリティ。,(関数ライブラリ),scripts/tools/calc_minimum_capital.py
scripts/tools/post_loss_analyzer.py,ARCHIVE_RESEARCH,損失分析。研究用ユーティリティ。,(関数ライブラリ),scripts/tools/post_loss_analyzer.py
